"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22513","Complete end-to-end purchase of two items","mobile-safari","2026-06-18","passed","2026-06-18","@smoke @e2e | Complete Purchase Flow","e2e-flow.spec.js","",""
"","5392","@regression | Calculate cart total","mobile-chrome","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","12585","Proceed to checkout from cart","mobile-safari","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","17936","@regression | Complete checkout flow","firefox","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","5437","Verify cart is empty before starting","mobile-safari","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","4139","Get all product names","mobile-chrome","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","20311","@regression | Calculate cart total","firefox","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","9707","Complete end-to-end purchase of two items","mobile-chrome","2026-06-18","passed","2026-06-18","@smoke @e2e | Complete Purchase Flow","e2e-flow.spec.js","",""
"","3769","get started link","mobile-chrome","2026-06-18","passed","2026-06-18","","example.spec.js","",""
"","5714","@regression | Add products from authenticated state","chrome","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","13319","@regression | Remove item from cart","mobile-safari","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","14292","@regression | Add single product to cart","webkit","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","20736","@sanity | Login fails with invalid password","firefox","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","11200","@regression | Add products from authenticated state","mobile-safari","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","4273","@regression | Add single product to cart","mobile-chrome","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","6886","Login page displays required elements","mobile-safari","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","3947","@regression | Complete checkout flow","mobile-chrome","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","10419","@regression | Add single product to cart","mobile-safari","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","25777","Complete end-to-end purchase of two items","firefox","2026-06-18","passed","2026-06-18","@smoke @e2e | Complete Purchase Flow","e2e-flow.spec.js","",""
"","9395","@smoke | Display all inventory items","mobile-safari","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","8932","@sanity | Login fails with locked out user","mobile-safari","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","10697","Verify cart is empty before starting","webkit","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","2894","@smoke | Navigate to inventory when already authenticated","mobile-chrome","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","11109","get started link","webkit","2026-06-18","passed","2026-06-18","","example.spec.js","",""
"","6321","@smoke | Display all inventory items","chrome","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","7047","Verify cart is empty before starting","mobile-chrome","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","12662","@sanity | Login fails with locked out user","webkit","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","15511","@regression | Calculate cart total","webkit","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","4441","@smoke @sanity | Successful login with valid credentials","mobile-chrome","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","9162","@smoke @sanity | Successful login with valid credentials","mobile-safari","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","10619","@regression | Add multiple products to cart","mobile-safari","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","16074","@regression | Add products from authenticated state","webkit","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","5537","@sanity | Login fails with locked out user","mobile-chrome","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","16387","@smoke | Display all inventory items","firefox","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","21473","Proceed to checkout from cart","firefox","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","8013","Get all product names","mobile-safari","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","5948","@smoke @sanity | Successful login with valid credentials","chrome","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","11003","@smoke | Display all inventory items","webkit","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","4682","@regression | Add multiple products to cart","mobile-chrome","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","8402","@smoke | Navigate to inventory when already authenticated","mobile-safari","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","16650","get started link","firefox","2026-06-18","passed","2026-06-18","","example.spec.js","",""
"","5018","Verify cart is empty before starting","chrome","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","11747","@smoke | View cart with items","mobile-safari","2026-06-18","passed","2026-06-18","Shopping Cart - SauceDemo","cart\checkout.spec.js","",""
"","10105","Get all product names","webkit","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","16703","@regression | Add single product to cart","firefox","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","4532","Login page displays required elements","mobile-chrome","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","4734","@smoke | Display all inventory items","mobile-chrome","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","11172","@smoke | Navigate to inventory when already authenticated","webkit","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","12222","@regression | Add products from authenticated state","firefox","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","3640","Get all product names","chrome","2026-06-18","passed","2026-06-18","Inventory - SauceDemo","inventory\products.spec.js","",""
"","6169","@regression | Complete checkout flow","chrome","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
"","15515","@smoke @sanity | Successful login with valid credentials","firefox","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","35848","Login page displays required elements","firefox","2026-06-18","passed","2026-06-18","Login - SauceDemo","auth\login.spec.js","",""
"","4350","@regression | Add products from authenticated state","mobile-chrome","2026-06-18","passed","2026-06-18","Authenticated - Direct Feature Testing","authenticated.spec.js","",""
